# [1]Indel length	[2]Count
-60	7165
-59	155
-58	137
-57	144
-56	162
-55	119
-54	298
-53	128
-52	149
-51	257
-50	168
-49	119
-48	417
-47	181
-46	202
-45	257
-44	207
-43	214
-42	766
-41	310
-40	288
-39	375
-38	321
-37	232
-36	708
-35	359
-34	413
-33	403
-32	425
-31	307
-30	736
-29	377
-28	637
-27	679
-26	660
-25	535
-24	1185
-23	682
-22	993
-21	1833
-20	1367
-19	1049
-18	1800
-17	1334
-16	1576
-15	1845
-14	2066
-13	1965
-12	3097
-11	2560
-10	2894
-9	4218
-8	4038
-7	4724
-6	6539
-5	7681
-4	10418
-3	14317
-2	20693
-1	36177
1	39083
2	26003
3	14639
4	11211
5	7755
6	7865
7	4523
8	4830
9	4254
10	3279
11	2530
12	3702
13	1970
14	2093
15	2167
16	1682
17	1367
18	2319
19	979
20	1223
21	1837
22	976
23	773
24	1599
25	706
26	673
27	833
28	688
29	535
30	946
31	450
32	482
33	543
34	438
35	415
36	946
37	373
38	339
39	427
40	342
41	278
42	689
43	263
44	278
45	367
46	230
47	248
48	502
49	220
50	218
51	319
52	214
53	191
54	395
55	231
56	208
57	215
58	163
59	146
60	3445
