"","region","TajD","S","theta_W","theta_S","recomb"
"1","109107 - 113173",-1.08384373013775,28,3.45776290758992,1.87947044367518,5
"2","109829 - 111884",-0.497355911001934,16,1.97586451862281,1.51523340585519,3
"3","113340 - 116410",-1.62506050964538,38,4.69267823172918,1.61861844403926,12
"4","114236 - 118021",-1.84931780575908,36,4.44569516690133,1.10804522779789,6
"5","116013 - 118202",-1.9818233727389,15,1.85237298620889,0.10599523763385,0
"6","118504 - 122768",-1.66988177459863,48,5.92759355586843,2.04536873104376,8
"7","118603 - 141499",-1.81182902891462,172,21.2405435751952,7.36073132562312,40
"8","123216 - 124749",-0.949918807580066,21,2.59332218069244,1.50219943802905,6
"9","127762 - 130186",-2.01107440594812,14,1.72888145379496,0.0475790326700667,0
"10","129265 - 132824",-2.1432316816642,36,4.44569516690133,0.577589279684779,6
"11","136578 - 137625",-1.5697052924737,9,1.11142379172533,0.161322070425471,1
"12","138646 - 139034",-0.33189203587656,14,1.72888145379496,1.45141241444917,4
"13","139700 - 141251",-1.36745055777865,4,0.493966129655703,0.00865564451960879,0
"14","141230 - 143553",-1.86375817228001,12,1.48189838896711,0.0936283534016272,0
"15","143353 - 143425",NA,NA,NA,NA,NA
"16","144046 - 148030",-2.07923824881559,23,2.84030524552029,0.26855517092549,2
"17","144841 - 144939",NA,NA,NA,NA,NA
"18","145836 - 151037",-2.25983095890777,36,4.44569516690133,0.36715083077158,4
"19","148054 - 155532",-2.39718894893543,67,8.27393267173302,0.734725635447037,11
"20","151196 - 154519",-2.17172958787055,32,3.95172903724562,0.410134855411393,5
"21","156062 - 158420",-2.01268746411873,16,1.97586451862281,0.111794049684809,0
"22","156172 - 160367",-2.18587822650038,23,2.84030524552029,0.136655245209007,2
"23","159527 - 161502",-1.88065576356828,11,1.35840685655318,0.0441983986470417,0
"24","160614 - 162188",-1.77035294375108,9,1.11142379172533,0.0398752741590254,0
"25","161330 - 163926",-1.55877114134646,6,0.740949194483554,0.0248388811082044,0
"26","162259 - 174387",-2.63834008977995,108,13.337085500704,0.383144982045703,4
"27","167665 - 171905",-2.49868543248308,56,6.91552581517984,0.242755595486616,2
"28","171338 - 172574",-1.95748398466632,12,1.48189838896711,0.023814179636921,0
"29","172574 - 173502",-1.74850008374162,8,0.987932259311406,0.0129928623229894,0
"30","173597 - 177277",-2.38597810051144,37,4.56918669931525,0.1593237557511,2
"31","175047 - 175501",-1.87408473248699,12,1.48189838896711,0.0859363393200563,0
"32","175085 - 178257",-2.37223071938533,38,4.69267823172918,0.205227445557229,2
"33","177518 - 182002",-2.1481850651849,21,2.59332218069244,0.125812787922029,1
"34","178821 - 181341",-1.85441327252919,11,1.35840685655318,0.0625367380434368,0
"35","182007 - 187692",-2.25117660058603,52,6.42155968552414,0.798669356141015,4
"36","182030 - 184141",-1.94744403006723,14,1.72888145379496,0.100775425955776,1
"37","184499 - 186309",-1.39342936764566,15,1.85237298620889,0.624486548224095,2
"38","185860 - 188842",-2.16141271045938,22,2.71681371310637,0.138674699856424,2
"39","190105 - 193113",-2.03363890148721,17,2.09935605103674,0.124816860302948,1
"40","190492 - 195121",-2.17191239401822,26,3.21077984276207,0.238202867402455,3
"41","193786 - 195506",-1.60990155938475,7,0.86444072689748,0.0449153960662034,0
"42","196227 - 198859",-2.02010515705421,14,1.72888145379496,0.0400291261850863,0
"43","197509 - 198830",-1.57045787312214,6,0.740949194483554,0.0194699151758582,0
"44","198957 - 202640",-2.21279402038457,30,3.70474597241777,0.289155487437865,3
"45","199103 - 201037",-2.17472043018188,24,2.96379677793422,0.178278090473212,2
