"region","TajD","S","theta_W","theta_pi","recomb"
"104000 - 106727",0.565450632499555,2,0.246983064827851,0.380318685093677,0
"105433 - 107500",0.0366422983791151,3,0.370474597241777,0.381402108712311,0
"106583 - 108202",-0.759752260332563,1,0.123491532413926,0.00108342361863489,0
"107622 - 110309",0.308362574002169,21,2.59332218069244,2.94752236579787,9
"108357 - 111662",-0.00763619368283837,24,2.96379677793422,2.954015860852,9
"109846 - 112484",-1.37697719324074,10,1.23491532413926,0.336710444027517,0
"112158 - 118863",-2.32103376482237,31,3.8282375048317,0.144324944874584,1
"113655 - 116953",-1.62809660593647,7,0.86444072689748,0.0356531517644537,0
"114149 - 115933",-0.987887020023601,2,0.246983064827851,0.0140351804384783,0
"116198 - 120058",-2.24958864548746,27,3.33427137517599,0.156844506689921,1
"119098 - 124924",-2.4075565482974,50,6.17457662069629,0.369177919298153,3
"123068 - 125848",-2.12211775664864,17,2.09935605103674,0.0389092948350935,0
"137006 - 147177",-2.57813380754247,107,13.2135939682901,0.666136405676083,8
"146710 - 149188",-1.67373174539167,8,0.987932259311406,0.0546826508351757,0
"172256 - 173440",-1.85335526594568,10,1.23491532413926,0.0259681080017734,0
"174829 - 174902",-0.759752260332563,1,0.123491532413926,0.00108342361863489,0
"175003 - 177360",-1.20241311535792,3,0.370474597241777,0.011889473174255,0
"177783 - 181051",-2.24604370186379,29,3.58125444000385,0.212405640849475,2
"180345 - 181808",-1.99570730843712,14,1.72888145379496,0.0604262640676244,2
"181969 - 194734",-2.55940036954104,77,9.50884799587228,0.356733521831426,5
"195272 - 196988",-2.32403496127959,28,3.45776290758992,0.073504860725747,0
"197685 - 202175",-1.96276680478409,49,6.05108508828236,1.40307175552796,8
"205531 - 209494",-1.91414696140512,12,1.48189838896711,0.0560949184789789,0
"209977 - 216599",-2.46514702576159,63,7.77996654207732,0.452185785129791,3
"218611 - 222971",-2.16749392833804,36,4.44569516690133,0.533800761626251,2
"223010 - 224364",-1.45040140565736,6,0.740949194483554,0.0746246920757398,0
