"Hudson.Kaplan.RM","pos"
NA,5001.5
NA,7501.5
NA,10001.5
NA,12501.5
NA,15001.5
NA,17501.5
NA,20001.5
NA,22501.5
NA,25001.5
NA,27501.5
NA,30001.5
NA,32501.5
NA,35001.5
NA,37501.5
NA,40001.5
NA,42501.5
NA,45001.5
NA,47501.5
NA,50001.5
NA,52501.5
NA,55001.5
NA,57501.5
NA,60001.5
NA,62501.5
NA,65001.5
NA,67501.5
NA,70001.5
NA,72501.5
NA,75001.5
NA,77501.5
NA,80001.5
NA,82501.5
NA,85001.5
NA,87501.5
NA,90001.5
NA,92501.5
NA,95001.5
NA,97501.5
NA,100001.5
NA,102501.5
NA,105001.5
4,107501.5
13,110001.5
18,112501.5
22,115001.5
23,117501.5
21,120001.5
20,122501.5
17,125001.5
18,127501.5
16,130001.5
13,132501.5
19,135001.5
13,137501.5
9,140001.5
11,142501.5
6,145001.5
11,147501.5
11,150001.5
12,152501.5
11,155001.5
5,157501.5
3,160001.5
1,162501.5
2,165001.5
4,167501.5
3,170001.5
5,172501.5
4,175001.5
5,177501.5
5,180001.5
5,182501.5
7,185001.5
8,187501.5
9,190001.5
6,192501.5
5,195001.5
5,197501.5
5,200001.5
5,202501.5
4,205001.5
3,207501.5
2,210001.5
3,212501.5
5,215001.5
6,217501.5
8,220001.5
7,222501.5
7,225001.5
6,227501.5
6,230001.5
6,232501.5
4,235001.5
8,237501.5
5,240001.5
6,242501.5
8,245001.5
5,247501.5
7,250001.5
8,252501.5
6,255001.5
4,257501.5
3,260001.5
4,262501.5
6,265001.5
6,267501.5
5,270001.5
7,272501.5
5,275001.5
5,277501.5
9,280001.5
7,282501.5
9,285001.5
11,287501.5
8,290001.5
5,292501.5
4,295001.5
6,297501.5
6,300001.5
8,302501.5
8,305001.5
4,307501.5
4,310001.5
1,312501.5
4,315001.5
6,317501.5
7,320001.5
7,322501.5
5,325001.5
5,327501.5
6,330001.5
7,332501.5
6,335001.5
4,337501.5
4,340001.5
4,342501.5
5,345001.5
4,347501.5
9,350001.5
11,352501.5
12,355001.5
13,357501.5
8,360001.5
6,362501.5
7,365001.5
5,367501.5
4,370001.5
7,372501.5
3,375001.5
6,377501.5
10,380001.5
9,382501.5
9,385001.5
8,387501.5
5,390001.5
5,392501.5
4,395001.5
6,397501.5
8,400001.5
8,402501.5
13,405001.5
11,407501.5
10,410001.5
9,412501.5
4,415001.5
3,417501.5
3,420001.5
2,422501.5
3,425001.5
5,427501.5
5,430001.5
7,432501.5
5,435001.5
6,437501.5
4,440001.5
4,442501.5
7,445001.5
7,447501.5
7,450001.5
7,452501.5
8,455001.5
7,457501.5
6,460001.5
8,462501.5
10,465001.5
10,467501.5
11,470001.5
11,472501.5
9,475001.5
12,477501.5
15,480001.5
14,482501.5
12,485001.5
9,487501.5
7,490001.5
8,492501.5
12,495001.5
15,497501.5
16,500001.5
14,502501.5
13,505001.5
10,507501.5
7,510001.5
5,512501.5
3,515001.5
3,517501.5
4,520001.5
6,522501.5
10,525001.5
7,527501.5
9,530001.5
9,532501.5
4,535001.5
4,537501.5
6,540001.5
4,542501.5
2,545001.5
3,547501.5
3,550001.5
3,552501.5
4,555001.5
5,557501.5
4,560001.5
7,562501.5
9,565001.5
10,567501.5
11,570001.5
9,572501.5
10,575001.5
8,577501.5
9,580001.5
9,582501.5
8,585001.5
6,587501.5
4,590001.5
6,592501.5
4,595001.5
5,597501.5
7,600001.5
8,602501.5
11,605001.5
11,607501.5
9,610001.5
8,612501.5
6,615001.5
6,617501.5
2,620001.5
4,622501.5
6,625001.5
6,627501.5
6,630001.5
7,632501.5
6,635001.5
4,637501.5
5,640001.5
3,642501.5
5,645001.5
4,647501.5
5,650001.5
8,652501.5
10,655001.5
11,657501.5
11,660001.5
7,662501.5
6,665001.5
5,667501.5
3,670001.5
4,672501.5
2,675001.5
4,677501.5
5,680001.5
4,682501.5
4,685001.5
8,687501.5
8,690001.5
10,692501.5
9,695001.5
5,697501.5
3,700001.5
3,702501.5
4,705001.5
3,707501.5
4,710001.5
3,712501.5
2,715001.5
3,717501.5
2,720001.5
3,722501.5
4,725001.5
4,727501.5
7,730001.5
5,732501.5
5,735001.5
6,737501.5
5,740001.5
6,742501.5
7,745001.5
6,747501.5
5,750001.5
5,752501.5
5,755001.5
7,757501.5
5,760001.5
5,762501.5
8,765001.5
7,767501.5
9,770001.5
9,772501.5
12,775001.5
12,777501.5
13,780001.5
12,782501.5
7,785001.5
4,787501.5
6,790001.5
5,792501.5
4,795001.5
6,797501.5
4,800001.5
4,802501.5
4,805001.5
4,807501.5
4,810001.5
3,812501.5
4,815001.5
5,817501.5
7,820001.5
6,822501.5
7,825001.5
6,827501.5
3,830001.5
1,832501.5
2,835001.5
3,837501.5
4,840001.5
4,842501.5
1,845001.5
0,847501.5
1,850001.5
2,852501.5
3,855001.5
5,857501.5
4,860001.5
4,862501.5
5,865001.5
3,867501.5
5,870001.5
3,872501.5
5,875001.5
6,877501.5
4,880001.5
5,882501.5
7,885001.5
7,887501.5
6,890001.5
6,892501.5
4,895001.5
5,897501.5
7,900001.5
8,902501.5
6,905001.5
5,907501.5
6,910001.5
7,912501.5
8,915001.5
8,917501.5
4,920001.5
3,922501.5
3,925001.5
4,927501.5
3,930001.5
6,932501.5
4,935001.5
8,937501.5
10,940001.5
9,942501.5
10,945001.5
6,947501.5
6,950001.5
8,952501.5
7,955001.5
7,957501.5
4,960001.5
5,962501.5
5,965001.5
9,967501.5
10,970001.5
10,972501.5
6,975001.5
5,977501.5
5,980001.5
8,982501.5
12,985001.5
10,987501.5
10,990001.5
3,992501.5
3,995001.5
3,997501.5
4,1000001.5
10,1002501.5
12,1005001.5
16,1007501.5
15,1010001.5
13,1012501.5
17,1015001.5
20,1017501.5
19,1020001.5
17,1022501.5
11,1025001.5
3,1027501.5
5,1030001.5
3,1032501.5
5,1035001.5
6,1037501.5
8,1040001.5
8,1042501.5
5,1045001.5
8,1047501.5
10,1050001.5
9,1052501.5
10,1055001.5
7,1057501.5
6,1060001.5
6,1062501.5
8,1065001.5
6,1067501.5
3,1070001.5
3,1072501.5
7,1075001.5
9,1077501.5
9,1080001.5
10,1082501.5
7,1085001.5
6,1087501.5
6,1090001.5
4,1092501.5
3,1095001.5
3,1097501.5
4,1100001.5
6,1102501.5
7,1105001.5
8,1107501.5
9,1110001.5
8,1112501.5
4,1115001.5
8,1117501.5
5,1120001.5
6,1122501.5
7,1125001.5
6,1127501.5
7,1130001.5
6,1132501.5
5,1135001.5
7,1137501.5
5,1140001.5
6,1142501.5
7,1145001.5
6,1147501.5
7,1150001.5
6,1152501.5
7,1155001.5
6,1157501.5
6,1160001.5
5,1162501.5
4,1165001.5
4,1167501.5
6,1170001.5
5,1172501.5
7,1175001.5
9,1177501.5
9,1180001.5
8,1182501.5
9,1185001.5
9,1187501.5
9,1190001.5
11,1192501.5
8,1195001.5
10,1197501.5
7,1200001.5
7,1202501.5
10,1205001.5
9,1207501.5
8,1210001.5
5,1212501.5
4,1215001.5
6,1217501.5
7,1220001.5
7,1222501.5
8,1225001.5
4,1227501.5
6,1230001.5
7,1232501.5
5,1235001.5
5,1237501.5
4,1240001.5
3,1242501.5
3,1245001.5
3,1247501.5
1,1250001.5
4,1252501.5
3,1255001.5
6,1257501.5
10,1260001.5
12,1262501.5
13,1265001.5
12,1267501.5
10,1270001.5
8,1272501.5
7,1275001.5
9,1277501.5
11,1280001.5
9,1282501.5
7,1285001.5
4,1287501.5
17,1290001.5
24,1292501.5
25,1295001.5
26,1297501.5
13,1300001.5
5,1302501.5
5,1305001.5
5,1307501.5
4,1310001.5
7,1312501.5
8,1315001.5
10,1317501.5
9,1320001.5
7,1322501.5
8,1325001.5
8,1327501.5
8,1330001.5
9,1332501.5
8,1335001.5
7,1337501.5
6,1340001.5
7,1342501.5
6,1345001.5
7,1347501.5
7,1350001.5
7,1352501.5
7,1355001.5
6,1357501.5
5,1360001.5
4,1362501.5
4,1365001.5
3,1367501.5
2,1370001.5
6,1372501.5
9,1375001.5
9,1377501.5
10,1380001.5
5,1382501.5
3,1385001.5
8,1387501.5
8,1390001.5
9,1392501.5
9,1395001.5
4,1397501.5
2,1400001.5
5,1402501.5
6,1405001.5
7,1407501.5
7,1410001.5
5,1412501.5
4,1415001.5
2,1417501.5
2,1420001.5
2,1422501.5
3,1425001.5
6,1427501.5
7,1430001.5
6,1432501.5
5,1435001.5
4,1437501.5
5,1440001.5
6,1442501.5
8,1445001.5
10,1447501.5
9,1450001.5
11,1452501.5
9,1455001.5
7,1457501.5
9,1460001.5
7,1462501.5
10,1465001.5
11,1467501.5
7,1470001.5
9,1472501.5
5,1475001.5
5,1477501.5
7,1480001.5
6,1482501.5
8,1485001.5
7,1487501.5
7,1490001.5
5,1492501.5
4,1495001.5
1,1497501.5
3,1500001.5
5,1502501.5
8,1505001.5
11,1507501.5
12,1510001.5
12,1512501.5
7,1515001.5
6,1517501.5
4,1520001.5
3,1522501.5
4,1525001.5
5,1527501.5
8,1530001.5
8,1532501.5
7,1535001.5
7,1537501.5
5,1540001.5
5,1542501.5
4,1545001.5
6,1547501.5
6,1550001.5
7,1552501.5
11,1555001.5
10,1557501.5
11,1560001.5
11,1562501.5
8,1565001.5
8,1567501.5
4,1570001.5
7,1572501.5
10,1575001.5
11,1577501.5
15,1580001.5
15,1582501.5
13,1585001.5
8,1587501.5
8,1590001.5
6,1592501.5
6,1595001.5
6,1597501.5
6,1600001.5
3,1602501.5
4,1605001.5
4,1607501.5
4,1610001.5
4,1612501.5
5,1615001.5
7,1617501.5
7,1620001.5
8,1622501.5
6,1625001.5
6,1627501.5
6,1630001.5
5,1632501.5
8,1635001.5
16,1637501.5
15,1640001.5
19,1642501.5
19,1645001.5
12,1647501.5
13,1650001.5
12,1652501.5
8,1655001.5
9,1657501.5
6,1660001.5
5,1662501.5
6,1665001.5
3,1667501.5
2,1670001.5
2,1672501.5
6,1675001.5
9,1677501.5
11,1680001.5
15,1682501.5
12,1685001.5
9,1687501.5
10,1690001.5
7,1692501.5
9,1695001.5
10,1697501.5
7,1700001.5
6,1702501.5
2,1705001.5
5,1707501.5
5,1710001.5
7,1712501.5
8,1715001.5
4,1717501.5
8,1720001.5
6,1722501.5
6,1725001.5
5,1727501.5
3,1730001.5
3,1732501.5
4,1735001.5
3,1737501.5
8,1740001.5
8,1742501.5
8,1745001.5
9,1747501.5
6,1750001.5
5,1752501.5
4,1755001.5
5,1757501.5
4,1760001.5
5,1762501.5
6,1765001.5
8,1767501.5
7,1770001.5
7,1772501.5
3,1775001.5
4,1777501.5
5,1780001.5
3,1782501.5
3,1785001.5
5,1787501.5
7,1790001.5
7,1792501.5
6,1795001.5
6,1797501.5
5,1800001.5
4,1802501.5
7,1805001.5
10,1807501.5
13,1810001.5
20,1812501.5
15,1815001.5
14,1817501.5
11,1820001.5
3,1822501.5
3,1825001.5
5,1827501.5
6,1830001.5
6,1832501.5
8,1835001.5
7,1837501.5
7,1840001.5
7,1842501.5
6,1845001.5
5,1847501.5
6,1850001.5
7,1852501.5
8,1855001.5
7,1857501.5
8,1860001.5
11,1862501.5
10,1865001.5
7,1867501.5
7,1870001.5
3,1872501.5
8,1875001.5
8,1877501.5
9,1880001.5
10,1882501.5
9,1885001.5
13,1887501.5
10,1890001.5
8,1892501.5
7,1895001.5
6,1897501.5
5,1900001.5
3,1902501.5
4,1905001.5
4,1907501.5
10,1910001.5
9,1912501.5
10,1915001.5
7,1917501.5
2,1920001.5
0,1922501.5
0,1925001.5
0,1927501.5
1,1930001.5
6,1932501.5
8,1935001.5
10,1937501.5
9,1940001.5
5,1942501.5
4,1945001.5
3,1947501.5
2,1950001.5
2,1952501.5
3,1955001.5
2,1957501.5
3,1960001.5
3,1962501.5
5,1965001.5
5,1967501.5
6,1970001.5
6,1972501.5
11,1975001.5
10,1977501.5
16,1980001.5
29,1982501.5
33,1985001.5
44,1987501.5
45,1990001.5
51,1992501.5
47,1995001.5
48,1997501.5
47,2000001.5
25,2002501.5
18,2005001.5
5,2007501.5
NA,2010001.5
NA,2012501.5
NA,2015001.5
NA,2017501.5
NA,2020001.5
NA,2022501.5
NA,2025001.5
NA,2027501.5
NA,2030001.5
NA,2032501.5
NA,2035001.5
