"","Wall.B","Wall.Q","Rozas.ZA","Rozas.ZZ","Kelly.Z_nS"
"104000 - 106727",0,0,0.000184604605668521,0,0.000184604605668521
"105433 - 107500",0,0,9.24491877720984e-05,-3.07184726321408e-05,0.000123167660404239
"106583 - 108202",NA,NA,NA,NA,NA
"107622 - 110309",0,0,0.0170092424617449,-0.00615822156369424,0.0231674640254391
"108357 - 111662",0,0,0.0147907223377374,-0.00296257241478277,0.0177532947525202
"109846 - 112484",0,0,0.000993435085805561,0.0006123283747352,0.000381106711070361
"112158 - 118863",0,0,5.32004378325985e-06,-0.0055526325655133,0.00555795260929656
"113655 - 116953",0,0,7.08779391300488e-06,8.57497536244774e-07,6.2302963767601e-06
"114149 - 115933",0,0,1.06390712799679e-05,0,1.06390712799679e-05
"116198 - 120058",0,0,8.28570619182158e-06,-0.00305777232756336,0.00306605803375518
"119098 - 124924",0,0,1.73077630724343e-05,-0.00207962893603711,0.00209693669910955
"123068 - 125848",0.0625,0.117647058823529,0.0625011982231345,0.0551470663869936,0.00735413183614085
"137006 - 147177",0.00943396226415094,0.0186915887850467,0.00944154875605282,0.00782851626698803,0.00161303248906479
"146710 - 149188",0,0,7.27115812727832e-06,-1.12713054620308e-06,8.3982886734814e-06
"172256 - 173440",0,0,1.63567160908255e-06,1.91862177626799e-08,1.61648539131987e-06
"174829 - 174902",NA,NA,NA,NA,NA
"175003 - 177360",0,0,4.12955505340128e-06,1.0824296803731e-06,3.04712537302819e-06
"177783 - 181051",0,0,7.59142103757816e-06,-0.00180332273263828,0.00181091415367586
"180345 - 181808",0,0,0.00956594261649189,0.00114953287648532,0.00841640974000656
"181969 - 194734",0,0,0.00269527423645465,0.00187681718266772,0.000818457053786926
"195272 - 196988",0,0,2.01182026530071e-06,-0.00264515638853428,0.00264716820879958
"197685 - 202175",0,0,0.000223818540513844,-0.00095011773109416,0.001173936271608
"205531 - 209494",0,0,4.43215558395099e-06,-5.87276993465295e-07,5.01943257741628e-06
"209977 - 216599",0,0,5.86104862290877e-06,-0.00385422643737778,0.00386008748600069
