"S"	"theta_W"	"theta_pi"	"TajD"	"population"	"positions"
NA	NA	NA	NA	"DRC"	5001.5
NA	NA	NA	NA	"DRC"	7501.5
NA	NA	NA	NA	"DRC"	10001.5
NA	NA	NA	NA	"DRC"	12501.5
NA	NA	NA	NA	"DRC"	15001.5
NA	NA	NA	NA	"DRC"	17501.5
NA	NA	NA	NA	"DRC"	20001.5
NA	NA	NA	NA	"DRC"	22501.5
NA	NA	NA	NA	"DRC"	25001.5
NA	NA	NA	NA	"DRC"	27501.5
NA	NA	NA	NA	"DRC"	30001.5
NA	NA	NA	NA	"DRC"	32501.5
NA	NA	NA	NA	"DRC"	35001.5
NA	NA	NA	NA	"DRC"	37501.5
NA	NA	NA	NA	"DRC"	40001.5
NA	NA	NA	NA	"DRC"	42501.5
NA	NA	NA	NA	"DRC"	45001.5
NA	NA	NA	NA	"DRC"	47501.5
NA	NA	NA	NA	"DRC"	50001.5
NA	NA	NA	NA	"DRC"	52501.5
NA	NA	NA	NA	"DRC"	55001.5
NA	NA	NA	NA	"DRC"	57501.5
NA	NA	NA	NA	"DRC"	60001.5
NA	NA	NA	NA	"DRC"	62501.5
NA	NA	NA	NA	"DRC"	65001.5
NA	NA	NA	NA	"DRC"	67501.5
NA	NA	NA	NA	"DRC"	70001.5
NA	NA	NA	NA	"DRC"	72501.5
NA	NA	NA	NA	"DRC"	75001.5
NA	NA	NA	NA	"DRC"	77501.5
NA	NA	NA	NA	"DRC"	80001.5
NA	NA	NA	NA	"DRC"	82501.5
NA	NA	NA	NA	"DRC"	85001.5
NA	NA	NA	NA	"DRC"	87501.5
NA	NA	NA	NA	"DRC"	90001.5
NA	NA	NA	NA	"DRC"	92501.5
NA	NA	NA	NA	"DRC"	95001.5
NA	NA	NA	NA	"DRC"	97501.5
NA	NA	NA	NA	"DRC"	100001.5
7	1.02487779129168	0.529791018230325	-0.919815151576991	"DRC"	102501.5
29	4.24592227820838	4.26459908107307	0.0114279626647433	"DRC"	105001.5
46	6.73491119991673	4.38703868385949	-0.955384186368919	"DRC"	107501.5
64	9.37031123466676	4.52468504520528	-1.45715787028508	"DRC"	110001.5
81	11.8593001563751	4.2865866310953	-1.82754264618441	"DRC"	112501.5
84	12.2985334955001	0.813443011708908	-2.67843999759475	"DRC"	115001.5
106	15.5195779824168	1.37935378686824	-2.64508343299147	"DRC"	117501.5
116	16.9836891128335	1.53045798132503	-2.65222636535748	"DRC"	120001.5
123	18.0085669041252	1.57403290351267	-2.6666770639319	"DRC"	122501.5
120	17.5693335650002	2.10123758707574	-2.56998329567841	"DRC"	125001.5
126	18.4478002432502	1.80527641914925	-2.63869969050899	"DRC"	127501.5
150	21.9616669562502	2.54958500074107	-2.60206947994593	"DRC"	130001.5
167	24.4506558779586	2.96924559063287	-2.59533784511303	"DRC"	132501.5
200	29.2822226083336	2.6696457684897	-2.69849222778609	"DRC"	135001.5
204	29.8678670605003	2.78892100192678	-2.69331420231704	"DRC"	137501.5
199	29.135811495292	2.11210167481844	-2.75359129401434	"DRC"	140001.5
198	28.9894003822503	1.93486734845116	-2.77028997864694	"DRC"	142501.5
164	24.0114225388336	1.60661775603972	-2.75486635613904	"DRC"	145001.5
171	25.0363003301253	1.66110864087743	-2.76006640244341	"DRC"	147501.5
210	30.7463337387503	2.12740477249148	-2.76717034229668	"DRC"	150001.5
211	30.892744851792	1.86388024307099	-2.79383292342025	"DRC"	152501.5
227	33.2353226604587	2.08733511190159	-2.7913456726522	"DRC"	155001.5
193	28.2573448170419	1.68949162590781	-2.78904059970984	"DRC"	157501.5
134	19.6190891475835	1.14702089817697	-2.7605231261151	"DRC"	160001.5
