"TajD.pop.1"	"TajD.pop.2"	"position"
NA	NA	5001
NA	NA	7501
NA	NA	10001
NA	NA	12501
NA	NA	15001
NA	NA	17501
NA	NA	20001
NA	NA	22501
NA	NA	25001
NA	NA	27501
NA	NA	30001
NA	NA	32501
NA	NA	35001
NA	NA	37501
NA	NA	40001
NA	NA	42501
NA	NA	45001
NA	NA	47501
NA	NA	50001
NA	NA	52501
NA	NA	55001
NA	NA	57501
NA	NA	60001
NA	NA	62501
NA	NA	65001
NA	NA	67501
NA	NA	70001
NA	NA	72501
NA	NA	75001
NA	NA	77501
NA	NA	80001
NA	NA	82501
NA	NA	85001
NA	NA	87501
NA	NA	90001
NA	NA	92501
NA	NA	95001
NA	NA	97501
NA	NA	100001
-0.747503314692477	1.20717643748369	102501
-0.426319832679021	1.19012187223622	105001
-0.697446140089271	0.622658795331434	107501
-1.23322804124741	0.622667969878703	110001
-1.50407377671699	-0.00695142474020114	112501
-2.54444830080725	-2.01957647170957	115001
-2.53658579049082	-2.05783682801522	117501
-2.5272542185861	-2.13834755171352	120001
-2.53943894212128	-2.22433790362334	122501
-2.408707381475	-2.12104526288057	125001
-2.47718552999748	-2.24706693638632	127501
-2.4115626918871	-2.02904685371325	130001
-2.42195507413039	-2.05078674231079	132501
-2.54229135671189	-2.24309353325774	135001
-2.55214621061964	-2.12757596814024	137501
-2.64607344384959	-2.43482032639934	140001
-2.646863043663	-2.22896404352593	142501
-2.56705033755111	-2.00601234138004	145001
-2.59588340924384	-2.1636618378811	147501
-2.61997759742976	-2.18565746796883	150001
-2.67585413292864	-2.46132162322941	152501
-2.68651745049466	-2.52038411266457	155001
-2.68665974839289	-2.43104240252367	157501
-2.66667081632968	-2.35202503256023	160001
-2.65978696766104	-2.11005805800159	162501
-2.66684904743402	-2.01942985078184	165001
-2.63027258502194	-2.18549960581633	167501
-2.63529989047068	-2.30533621816688	170001
-2.57078229289903	-2.35804541468337	172501
-2.55449041917979	-2.53400204431226	175001
-2.58516063379607	-2.53400819719666	177501
-2.59203058285752	-2.54461841294206	180001
-2.57330484934907	-2.54737280448044	182501
-2.59302030319414	-2.34424625812033	185001
-2.57463422685149	-2.34349628415475	187501
-2.51518112991541	-2.38828323242466	190001
-2.51105049552143	-2.35145861936494	192501
-2.30256913969341	-1.66395969999951	195001
-2.20449647912724	-1.39868110615303	197501
-2.32495364016549	-1.1688620559239	200001
-2.29546440359739	-0.904761155247831	202501
-2.48210862377628	-1.59567523203123	205001
-2.65711479209487	-1.97528270252394	207501
-2.68969744599781	-2.04522326131623	210001
-2.60793284752516	-2.01085604531359	212501
-2.60459909253788	-2.01086621591271	215001
-2.53765837935669	-1.69570047616374	217501
-2.4980639578677	-1.81550670909918	220001
-2.45330710800769	-1.58191084725673	222501
-2.47527967240441	-1.58193995519375	225001
-2.34184021487959	-1.42880018278254	227501
-2.20330998633029	-1.38561523224222	230001
-2.32454516663769	-1.64137613822801	232501
-2.40670341865257	-1.92864459348815	235001
-2.53193012031114	-1.93921501378983	237501
-2.58244674948835	-1.81879870159733	240001
-2.49538124972466	-1.8550287949277	242501
-2.45909335235309	-1.41413420224583	245001
-2.46101924281918	-1.70838167394855	247501
-2.45928455276304	-1.79994366633753	250001
-2.6377700407142	-2.16340873315466	252501
-2.67283743423227	-2.2132026531354	255001
-2.68172014167327	-2.3462112223668	257501
-2.67599720508348	-2.27365355760477	260001
-2.64678146099172	-1.89968349440593	262501
-2.55537184476841	-2.11026571989033	265001
-2.49690696857124	-2.01960491076093	267501
-2.25188997712281	-2.21993899323866	270001
-2.21106555861106	-2.25653568562956	272501
-1.8680853775351	-1.43523484848533	275001
-1.95098392720094	-1.71839401257623	277501
-2.11382681203169	-1.48362950513783	280001
-2.1230610917346	-1.45257879999906	282501
-2.51290916259477	-2.3035971059497	285001
-2.02543578823145	-1.50242695942206	287501
-1.95058677891799	-1.61441389477151	290001
-1.92616878056549	-1.49017790889861	292501
-1.85246513681556	-1.57823955386411	295001
-2.33374994555679	-2.01712172603462	297501
-2.32560756896958	-1.92521638848105	300001
-2.29877719953579	-1.57268409352564	302501
-2.22353028990869	-1.15707293277606	305001
-1.77785693587819	-0.954965227080983	307501
-1.84044401218004	-1.0497562707848	310001
-2.01404047664663	-1.44415107926261	312501
-2.14158232240798	-1.52365382517506	315001
-2.12030398115387	-1.30451268935348	317501
-1.98191858310774	-1.2851297131855	320001
-1.98860461466148	-1.35003565256938	322501
-1.94346372269593	-1.37819882994062	325001
-2.34974730414597	-1.9130871264829	327501
-2.67751603030484	-2.29210046858715	330001
-2.70573028121364	-2.29205125347901	332501
-2.58147386181067	-1.86216517450412	335001
-2.61498167408693	-1.99579219041026	337501
-2.58204728773474	-2.05172388690965	340001
-2.46798026670076	-1.8572031209737	342501
-2.55445044647766	-2.24269493461693	345001
-2.48077548317231	-2.16294954383281	347501
-2.44401962418793	-2.2094882698195	350001
-2.52295392192555	-2.38898451348136	352501
-2.55811845539237	-2.38895259924635	355001
-2.60587766985789	-2.4631519683093	357501
-2.64989655449021	-2.43102796426458	360001
-2.52762470588124	-2.2420790647921	362501
-2.50492492591629	-2.05353546135743	365001
-2.32844368063805	-1.92158543068076	367501
-1.48538590275622	-1.05774578037298	370001
-1.56962866741518	-0.844186940602577	372501
-1.55110240923344	-0.903278300753874	375001
-1.50896576008489	-0.873867404822473	377501
-2.24040962995011	-1.67628347660137	380001
-2.28122108605874	-2.13028402454324	382501
-2.48259937319203	-2.33824325674847	385001
-2.53856943038201	-2.34580827820322	387501
-2.55840288865531	-2.30853552423361	390001
-2.57785685890606	-2.27542271584546	392501
-2.60217376033406	-2.3106883651269	395001
-2.5441117435115	-2.39076404988362	397501
-2.18695834022493	-1.5379925630645	400001
-2.08386453397497	-1.37158492094729	402501
-2.038217785102	-1.14307216558206	405001
-2.04724838438133	-0.854674819729497	407501
-2.40685575518537	-2.05888882597576	410001
-2.29140324715576	-1.99260668281313	412501
-2.31481378617287	-1.99267507570217	415001
-2.25279745936915	-1.85422545455051	417501
-2.28744356041888	-1.72022575959066	420001
-2.42354187305986	-1.59399352721008	422501
-2.37683277814237	-1.9162108942069	425001
-2.5141366486642	-2.12130938353439	427501
-2.43126049630939	-2.03641669502618	430001
-2.45865008145	-2.17050866105222	432501
-2.25173623358541	-2.07014476468436	435001
-2.21761602696011	-1.97589625918481	437501
-2.36515809649458	-2.27263565525713	440001
-2.35942847370295	-2.18504542355431	442501
-2.52132926630164	-2.16598523596443	445001
-2.51390043432265	-2.22756031403255	447501
-2.51440804778814	-2.23681168304982	450001
-2.53979402174304	-2.17721302078177	452501
-2.59401575681558	-2.30447851863121	455001
-2.586966689033	-2.18568951274084	457501
-2.5395657860611	-1.67752521368808	460001
-2.27544225279355	-1.40290497053611	462501
-2.13085766989945	-0.808452564992191	465001
-1.71976680913583	-0.88174979345842	467501
-1.75283939518869	-0.97887772083884	470001
-1.85652382572015	-0.967240420613014	472501
-2.01792705571802	-1.46934922611344	475001
-2.47534879179811	-1.93485242280279	477501
-2.39434507005572	-2.0938361040982	480001
-2.42898145611756	-2.15701431483295	482501
-2.45125223232085	-2.08521737262772	485001
-2.51307087477995	-2.33573045135779	487501
-2.55526711104619	-2.24890184875715	490001
-2.5419671970439	-2.18492887611774	492501
-2.44741391194364	-2.27630162195392	495001
-2.28919048219475	-2.11279880597312	497501
-2.14213478197469	-1.70784286064173	500001
-2.22127095567293	-1.72838010094237	502501
-2.20724803439435	-1.29242030996716	505001
-2.26078674386633	-1.64404366754777	507501
-2.48934951796072	-2.14724154992888	510001
-2.27003319430704	-2.17617829198097	512501
-2.11915782243288	-1.80317799949093	515001
-2.08287305576449	-1.39933444204428	517501
-1.96886592000123	-1.31258524416598	520001
-2.09392775952379	-1.0510379995878	522501
-2.26882517113986	-1.62478220478052	525001
-2.43051598954673	-1.90302722663742	527501
-2.4564390683928	-2.05407359243162	530001
-2.49893379499446	-2.17780452916024	532501
-2.52654774600059	-2.15648494525054	535001
-2.58000636477188	-2.34361244044353	537501
-2.54904979826282	-2.21214909231916	540001
-2.56896764492287	-2.25827093666934	542501
-2.45490355544143	-2.08932809742774	545001
-2.30371346316433	-2.03787589220727	547501
-2.31642123582118	-2.15247000093547	550001
-2.12351855107478	-1.8126888919175	552501
-2.20468662569612	-1.94863311388483	555001
-2.39844378521941	-1.93899409344822	557501
-2.39227132459956	-2.03318655944577	560001
-2.5686693526835	-2.28111322292155	562501
-2.63216541209872	-2.4310385829125	565001
-2.64393833051891	-2.45556241937303	567501
-2.62513918543189	-2.3390275506582	570001
-2.62220519649163	-2.28565058126206	572501
-2.60468392829769	-2.15396353322627	575001
-2.54477708374142	-1.83317581484735	577501
-2.40957008173161	-1.18547118115731	580001
-2.43272024389436	-1.17835863632114	582501
-2.45914182180774	-1.57517650077525	585001
-2.43530432969298	-1.83506217836567	587501
-2.601945760159	-2.31530998847999	590001
-2.68189515172628	-2.46511011381884	592501
-2.68472371850226	-2.35968325462902	595001
-2.68001643983045	-2.34422831641318	597501
-2.53585592176248	-2.27788419545905	600001
-2.38358587333823	-1.70176640942487	602501
-2.40156574859916	-1.62035880131073	605001
-2.36054345147634	-1.71320426053912	607501
-2.36099421091952	-1.63839414973273	610001
-2.2972642173609	-1.83454889030179	612501
-2.06862669534972	-1.8427505816074	615001
-2.04779179948958	-1.56275622161542	617501
