"TajD.DRC"	"TajD.Gambia"	"TajD.Kenya"	"position"
NA	NA	NA	5001
NA	NA	NA	7501
NA	NA	NA	10001
NA	NA	NA	12501
NA	NA	NA	15001
NA	NA	NA	17501
NA	NA	NA	20001
NA	NA	NA	22501
NA	NA	NA	25001
NA	NA	NA	27501
NA	NA	NA	30001
NA	NA	NA	32501
NA	NA	NA	35001
NA	NA	NA	37501
NA	NA	NA	40001
NA	NA	NA	42501
NA	NA	NA	45001
NA	NA	NA	47501
NA	NA	NA	50001
NA	NA	NA	52501
NA	NA	NA	55001
NA	NA	NA	57501
NA	NA	NA	60001
NA	NA	NA	62501
NA	NA	NA	65001
NA	NA	NA	67501
NA	NA	NA	70001
NA	NA	NA	72501
NA	NA	NA	75001
NA	NA	NA	77501
NA	NA	NA	80001
NA	NA	NA	82501
NA	NA	NA	85001
NA	NA	NA	87501
NA	NA	NA	90001
NA	NA	NA	92501
NA	NA	NA	95001
NA	NA	NA	97501
NA	NA	NA	100001
0.13058312775532	-0.745196701244186	-0.0388048444284353	102501
0.200467842198073	-0.427140770440438	0.780969259304342	105001
-0.643068506096693	-0.699031752824124	-0.162598153830595	107501
-1.15972582399394	-1.23542012238879	-0.66744048789992	110001
-1.67987717646717	-1.50544933427621	-1.17762862426748	112501
-2.64264790820189	-2.54444539880188	-2.57230320974849	115001
-2.65729917066509	-2.53658845843317	-2.59178965824143	117501
-2.67741427138429	-2.52674343089053	-2.61075419804451	120001
-2.68530189730861	-2.53944037014382	-2.6381388772931	122501
-2.59561077616458	-2.40924043413207	-2.45023815700054	125001
-2.62836603928599	-2.47769995645741	-2.50432105735415	127501
-2.54324626748673	-2.41103317322271	-2.39047002199001	130001
-2.53249945121576	-2.42195962476536	-2.40333344344292	132501
-2.64832359081584	-2.54179109025398	-2.61285313462833	135001
-2.67065913741233	-2.5516461295145	-2.6314536140766	137501
-2.76261019525568	-2.64558709069114	-2.73877675530775	140001
-2.7816203110107	-2.6468644803113	-2.74220257319599	142501
-2.75321392623733	-2.56705163594334	-2.68499271130706	145001
-2.73896572995502	-2.59587922108668	-2.65205375272803	147501
-2.74335682890197	-2.61997770240612	-2.6785984993553	150001
-2.76865094219072	-2.6758524675102	-2.73988011321921	152501
-2.77396388246574	-2.68651569128053	-2.74696169292707	155001
-2.75739082464332	-2.68713774682292	-2.72951469125224	157501
-2.72429374616047	-2.66667742367409	-2.6974664997302	160001
-2.66685463887586	-2.6593115892931	-2.58589029767869	162501
-2.64016503960434	-2.66685321509392	-2.58189652094726	165001
-2.66889972335333	-2.62979236478079	-2.6053570613875	167501
-2.68079404175818	-2.63530213628694	-2.62046829617057	170001
-2.68614548974426	-2.57078883788013	-2.62930911205791	172501
-2.72177767940291	-2.55399389814338	-2.61973300945714	175001
-2.71843979851422	-2.58516052888683	-2.62506159051444	177501
-2.73368416342361	-2.59203106637104	-2.62986057225204	180001
-2.75134487906143	-2.57330545330312	-2.68190755019618	182501
-2.74439621013357	-2.59302250272625	-2.67091526458433	185001
-2.7079905678082	-2.57463872600967	-2.67148038912714	187501
-2.67327007007573	-2.51518606065027	-2.67095284898375	190001
-2.72147507309216	-2.51105490360596	-2.66245082024386	192501
-2.51280646540816	-2.30203488234093	-2.45321781330882	195001
-2.56034877616356	-2.20449835249372	-2.3799316461616	197501
-2.58134500680121	-2.32495836753817	-2.39201720468411	200001
-2.485688801714	-2.29492524109528	-2.26040651811989	202501
-2.62339414324354	-2.4816064662669	-2.47658520588627	205001
-2.69186320259948	-2.65664108557173	-2.62517173507836	207501
-2.67541971385153	-2.68970481077759	-2.5813367764918	210001
-2.64350747499028	-2.6074437465924	-2.57134656215167	212501
-2.67015304395665	-2.60411029191131	-2.57270847694207	215001
-2.63166441204932	-2.53715688845314	-2.48679680397211	217501
-2.60870609317512	-2.49806808584659	-2.49694331376246	220001
-2.58658952767408	-2.45331216037571	-2.47966420947193	222501
-2.54404674980311	-2.47476803149241	-2.42997624516621	225001
-2.47665565497975	-2.34130510016106	-2.4148473225478	227501
-2.49984507266851	-2.20331715496501	-2.41411004508576	230001
-2.54269719725473	-2.32454929881981	-2.44331688482642	232501
-2.61068869026066	-2.40618188294453	-2.57940188494755	235001
-2.64046938912028	-2.53193526811707	-2.57505326218129	237501
-2.66452464674612	-2.58244587529454	-2.56339482412815	240001
-2.58537794758037	-2.4953798846972	-2.44992733886927	242501
-2.5582813581449	-2.45909174860948	-2.2566604043962	245001
-2.37949231126907	-2.46102118312996	-1.73515651916129	247501
-2.25006427441226	-2.45928666286196	-1.56189870263606	250001
-2.48649346226326	-2.63777268119507	-2.20854972955009	252501
-2.55430559308069	-2.67284237014205	-2.36665463409491	255001
-2.71916764696446	-2.68124875954579	-2.69079359589048	257501
-2.75729584250111	-2.67599807804435	-2.72306676829683	260001
-2.7539674900639	-2.64678150163623	-2.71679525768267	262501
-2.71176711543553	-2.55537241092778	-2.67069364497488	265001
-2.65534713821251	-2.49690913771526	-2.58595813777854	267501
-2.52725990750203	-2.25025658689316	-2.46957439230885	270001
-2.42415770832107	-2.21051234105223	-2.39877162268829	272501
-2.10946733393043	-1.86745521468503	-2.07344909404352	275001
-2.14669464376482	-1.95098771861992	-2.14341486472725	277501
-2.34379257073725	-2.11382483436637	-2.23487339712711	280001
-2.33785442768142	-2.12305905507261	-2.16272205580729	282501
-2.65064339083075	-2.51239863859891	-2.4952581733781	285001
-2.20032892758753	-2.02482956630956	-2.01554468278328	287501
-1.87454104883189	-1.94995584753886	-1.83442769201898	290001
-1.88528034768288	-1.92616699107707	-1.96075113792192	292501
-1.96915359256091	-1.85313247254875	-1.99084055790132	295001
-2.48398219210807	-2.3337499448714	-2.45613757179572	297501
-2.55924508310811	-2.32560987529054	-2.50673791879528	300001
-2.55477953541606	-2.29758944862967	-2.39172360328086	302501
-2.4012214027293	-2.22165343489242	-2.16627717565733	305001
-1.99289690418367	-1.77560372826085	-1.64889537516965	307501
-2.01770062036041	-1.8396874485531	-1.70940183217922	310001
-2.26909671955615	-2.01331762274311	-2.06737082875869	312501
-2.35619556452891	-2.14158268779004	-2.15919220842346	315001
-2.30741806320823	-2.12097002925168	-2.05032510994017	317501
-2.28891094695546	-1.98192070379584	-1.96390259785809	320001
-2.24274751573138	-1.98861097488309	-1.86751748143766	322501
-2.18954748825713	-1.9428484060678	-1.94272266441722	325001
-2.53764152860176	-2.34974826396336	-2.39266615733379	327501
-2.68630666859591	-2.67751516826763	-2.62486551821143	330001
-2.69542120895867	-2.70526092987153	-2.68436713282645	332501
-2.60922373130309	-2.58147546053418	-2.54963709652289	335001
-2.62931306193861	-2.61498286902324	-2.55720825158868	337501
-2.62164242943869	-2.58155668433368	-2.54902229206175	340001
-2.58722447721824	-2.4674689430856	-2.51776250558107	342501
-2.68811104529972	-2.55445158333491	-2.65055691583687	345001
-2.63424172718309	-2.48077679514839	-2.61922200314458	347501
-2.59984067381893	-2.44350856512593	-2.54593813362691	350001
-2.62864198379744	-2.52295529055948	-2.52561234402937	352501
-2.60455491117743	-2.55811382553206	-2.4908061760541	355001
-2.62688954595092	-2.6058731544204	-2.53633899125191	357501
-2.69988843229729	-2.64989171794332	-2.69974895441973	360001
-2.64053140450291	-2.52813060967269	-2.66316313406934	362501
-2.62954354222171	-2.50543559160901	-2.63279220271161	365001
-2.55715659437243	-2.32844304960576	-2.49132091884376	367501
-2.03666664227865	-1.48464852682425	-1.8088493663905	370001
-1.86637419117722	-1.56889087154776	-1.65161127413575	372501
-1.88046691504084	-1.55036736132461	-1.68822361617809	375001
-1.83801539424958	-1.50824843623079	-1.71674457516689	377501
-2.32983104525606	-2.23984649744554	-2.25803352174773	380001
-2.50174827829963	-2.28122036419433	-2.38012038537635	382501
-2.61912088128845	-2.48208315324056	-2.51431386916	385001
-2.6386412520415	-2.53857030611181	-2.63092653180853	387501
-2.61337259732726	-2.55840389561249	-2.61586161277893	390001
-2.64214238327485	-2.57785675439625	-2.61930308329843	392501
-2.61868013164333	-2.60167950993561	-2.61996626892765	395001
-2.61088389971666	-2.54411312054027	-2.61971031468117	397501
-2.22448007542747	-2.18696325602904	-2.18393136685747	400001
-2.09249771411168	-2.08386435493218	-2.04292258155868	402501
-1.85956723981139	-2.03822057797793	-1.8999629575115	405001
-1.73968228856809	-2.0466584551331	-1.74980302176587	407501
-2.40846734936374	-2.40634327273372	-2.379359094316	410001
-2.35014825248815	-2.29031103965708	-2.15993754529579	412501
-2.45096175842683	-2.31427887052851	-2.24948128453449	415001
-2.48791987618771	-2.25224379984257	-2.21213777503679	417501
-2.51743729321776	-2.28744396381255	-2.22225699714734	420001
-2.6236342671585	-2.42353729394387	-2.51644020562501	422501
-2.63688918316765	-2.37682526803122	-2.54032252042102	425001
-2.66557917881929	-2.5146323523948	-2.56339265192812	427501
-2.60892956207582	-2.43125655261801	-2.4786119851037	430001
-2.61281870849931	-2.45864803749568	-2.46688814597246	432501
-2.38195058438347	-2.25173305798659	-2.18275507362783	435001
-2.34647969411099	-2.21761632142801	-2.20838297701374	437501
-2.48355791719868	-2.36569216283002	-2.41671877055369	440001
-2.52522449559714	-2.35997115705269	-2.41791867982891	442501
-2.6487484562954	-2.52080990672997	-2.51107628154434	445001
-2.64226422192602	-2.51390104166183	-2.49185953197794	447501
-2.67602372402801	-2.51439908296887	-2.48377739571996	450001
-2.64022206505502	-2.54029485990975	-2.45928716007061	452501
-2.69360737139363	-2.59450995526028	-2.52874720119577	455001
-2.68402878383998	-2.58696784491824	-2.52737472684343	457501
-2.6656076745018	-2.53956732069979	-2.56686148883939	460001
-2.54683747556825	-2.27490637270472	-2.37939953373931	462501
-2.37409475055724	-2.13086084554128	-2.24055260759016	465001
-2.0900030854771	-1.71976959773084	-1.87875086544386	467501
-2.09258665443674	-1.75284239531356	-1.81023915302045	470001
-2.17091716991974	-1.85652656749616	-1.96342052597515	472501
-2.28582755808072	-2.017930589289	-2.11436372534976	475001
-2.59259612887419	-2.47534961510362	-2.48348903944091	477501
-2.52913185286135	-2.39434739905994	-2.4654135009982	480001
-2.56354292275344	-2.4289819646294	-2.45721882315829	482501
-2.64656110463882	-2.45073202182813	-2.48387064104549	485001
-2.70599204674899	-2.51204482789039	-2.57523657051406	487501
-2.69715886000411	-2.5542551248205	-2.54079371472041	490001
-2.66996192945213	-2.54095039182721	-2.52401496954571	492501
-2.54746729430191	-2.44741604109081	-2.28080898946534	495001
-2.34595480518743	-2.28918876510627	-2.16715795410851	497501
-2.30135684134498	-2.14213442359081	-2.04145460520583	500001
-2.38752789670921	-2.22127089030618	-2.13136134870914	502501
-2.38431587615901	-2.20725095133213	-2.15317984622185	505001
-2.52130745454659	-2.26079411697759	-2.32865092662326	507501
-2.66475680061293	-2.48883214942569	-2.56302238742917	510001
-2.53783072852707	-2.27003457255727	-2.42728886314716	512501
-2.38565510749441	-2.11915584052395	-2.14707413346591	515001
-2.26887148883279	-2.08346292804305	-1.99653244201437	517501
-2.14721575403882	-1.96886458842772	-1.96228283331323	520001
-2.28035629820501	-2.09392960111349	-2.00614949753865	522501
-2.5059564038096	-2.26882638763596	-2.33116868318408	525001
-2.63784079122659	-2.43051507940447	-2.40102089852993	527501
-2.67838990666786	-2.45644205091394	-2.4155472198988	530001
-2.66204979354871	-2.49893574091529	-2.38410236243164	532501
-2.61439343658893	-2.52605267089708	-2.34984920524672	535001
-2.63297824042319	-2.5795274672649	-2.48118106308262	537501
-2.5585963303647	-2.5485632971802	-2.44973589564507	540001
-2.58743755015065	-2.56897362104203	-2.50101532898227	542501
-2.51991248782043	-2.45490510966166	-2.49689435843036	545001
-2.50818488939618	-2.30371625152725	-2.44081234881551	547501
-2.5829336566005	-2.31642143753843	-2.49428856078695	550001
-2.41070770532173	-2.12295043180032	-2.34385310251112	552501
-2.43022959621465	-2.20413310344147	-2.35624782802539	555001
-2.39653846557208	-2.39792581756545	-2.46600667099262	557501
-2.43715363084624	-2.39175469903092	-2.46360697482067	560001
-2.63126123934918	-2.56867149313396	-2.60095110939467	562501
-2.71430642392638	-2.63216648680715	-2.67350771520639	565001
-2.72392490371063	-2.64393814687976	-2.65905315978205	567501
-2.69479666844735	-2.62513678651683	-2.65216021888591	570001
-2.6603858325459	-2.62220704545421	-2.60805650888416	572501
