"","Hudson.Kaplan.RM"
"109107 - 113173",5
"109829 - 111884",3
"113340 - 116410",12
"114236 - 118021",6
"116013 - 118202",0
"118504 - 122768",8
"118603 - 141499",40
"123216 - 124749",6
"127762 - 130186",0
"129265 - 132824",6
"136578 - 137625",1
"138646 - 139034",4
"139700 - 141251",0
"141230 - 143553",0
"143353 - 143425",NA
"144046 - 148030",2
"144841 - 144939",NA
"145836 - 151037",4
"148054 - 155532",11
"151196 - 154519",5
"156062 - 158420",0
"156172 - 160367",2
"159527 - 161502",0
"160614 - 162188",0
"161330 - 163926",0
"162259 - 174387",4
"167665 - 171905",2
"171338 - 172574",0
"172574 - 173502",0
"173597 - 177277",2
"175047 - 175501",0
"175085 - 178257",2
"177518 - 182002",1
"178821 - 181341",0
"182007 - 187692",4
"182030 - 184141",1
"184499 - 186309",2
"185860 - 188842",2
"190105 - 193113",1
"190492 - 195121",3
"193786 - 195506",0
"196227 - 198859",0
"197509 - 198830",0
"198957 - 202640",3
"199103 - 201037",2
"202330 - 204261",1
"202895 - 204937",0
"204215 - 207469",0
"204272 - 205928",0
"206335 - 210051",0
"208165 - 210893",0
"211383 - 212908",1
"212772 - 220288",4
"212829 - 214204",0
"214215 - 216474",0
"216812 - 219272",1
"219569 - 222227",1
"219926 - 223878",1
"222428 - 225423",1
"225227 - 226943",0
"225821 - 227226",0
"228159 - 231014",1
"230037 - 231763",0
"231469 - 234881",2
"232330 - 236562",3
"235266 - 238856",0
"239262 - 241179",1
"240616 - 245317",4
"241557 - 248411",4
"246768 - 249431",1
"248691 - 252115",3
"250276 - 253352",2
"252516 - 254143",0
"254523 - 254921",0
"255011 - 257735",1
"255472 - 264324",3
"258508 - 259998",0
"260554 - 263407",1
"262911 - 266839",2
"264233 - 267884",2
"267237 - 268354",0
"268176 - 274697",4
"269514 - 272152",1
"272320 - 275022",0
"275163 - 279995",4
"279803 - 283029",0
"283337 - 289495",8
"289667 - 290290",0
"290954 - 292740",1
"293534 - 297356",1
"297359 - 301207",3
"300943 - 316691",8
"317615 - 319552",1
"319592 - 321540",1
"321886 - 325323",0
"326603 - 329176",1
"328877 - 336810",5
