"TajD.DRC"	"TajD.Gambia"	"TajD.Kenya"	"TajD.Myanmar"	"position"
NA	NA	NA	NA	5001.5
NA	NA	NA	NA	7501.5
NA	NA	NA	NA	10001.5
NA	NA	NA	NA	12501.5
NA	NA	NA	NA	15001.5
NA	NA	NA	NA	17501.5
NA	NA	NA	NA	20001.5
NA	NA	NA	NA	22501.5
NA	NA	NA	NA	25001.5
NA	NA	NA	NA	27501.5
NA	NA	NA	NA	30001.5
NA	NA	NA	NA	32501.5
NA	NA	NA	NA	35001.5
NA	NA	NA	NA	37501.5
NA	NA	NA	NA	40001.5
NA	NA	NA	NA	42501.5
NA	NA	NA	NA	45001.5
NA	NA	NA	NA	47501.5
NA	NA	NA	NA	50001.5
NA	NA	NA	NA	52501.5
NA	NA	NA	NA	55001.5
NA	NA	NA	NA	57501.5
NA	NA	NA	NA	60001.5
NA	NA	NA	NA	62501.5
NA	NA	NA	NA	65001.5
NA	NA	NA	NA	67501.5
NA	NA	NA	NA	70001.5
NA	NA	NA	NA	72501.5
NA	NA	NA	NA	75001.5
NA	NA	NA	NA	77501.5
NA	NA	NA	NA	80001.5
NA	NA	NA	NA	82501.5
NA	NA	NA	NA	85001.5
NA	NA	NA	NA	87501.5
NA	NA	NA	NA	90001.5
NA	NA	NA	NA	92501.5
NA	NA	NA	NA	95001.5
NA	NA	NA	NA	97501.5
NA	NA	NA	NA	100001.5
-0.919815151576991	-1.10564833487306	-0.812877926871218	-1.42276036435959	102501.5
0.0114279626647433	-0.568067714605916	0.275857292107041	-0.839693328959206	105001.5
-0.955384186368919	-0.878054967947681	-0.700257185625021	-0.924797745297553	107501.5
-1.45715787028508	-1.3893572646732	-1.1259972269108	-1.0936612194484	110001.5
-1.82754264618441	-1.60581180514346	-1.53881054069906	-0.910070151959073	112501.5
-2.67843999759475	-2.58742845442823	-2.63074595524605	-1.08702702100821	115001.5
-2.64508343299147	-2.53044676894997	-2.60860694889855	-1.09119490926175	117501.5
-2.65222636535748	-2.50745198633088	-2.64463068045334	-1.15315391865692	120001.5
-2.6666770639319	-2.53752536443389	-2.65224059173078	-1.26083094652482	122501.5
-2.56998329567841	-2.44005006277247	-2.49242078035037	-1.58644825106995	125001.5
-2.63869969050899	-2.54134482139094	-2.54898674434063	-1.87220655300712	127501.5
-2.60206947994593	-2.52767107374242	-2.45447044023248	-0.964434438538576	130001.5
-2.59533784511303	-2.50426815947358	-2.47514567094856	-1.04994025385058	132501.5
