"S"	"theta_W"	"theta_pi"	"TajD"	"position"
NA	NA	NA	NA	5001.5
NA	NA	NA	NA	7501.5
NA	NA	NA	NA	10001.5
NA	NA	NA	NA	12501.5
NA	NA	NA	NA	15001.5
NA	NA	NA	NA	17501.5
NA	NA	NA	NA	20001.5
NA	NA	NA	NA	22501.5
NA	NA	NA	NA	25001.5
NA	NA	NA	NA	27501.5
NA	NA	NA	NA	30001.5
NA	NA	NA	NA	32501.5
NA	NA	NA	NA	35001.5
NA	NA	NA	NA	37501.5
NA	NA	NA	NA	40001.5
NA	NA	NA	NA	42501.5
NA	NA	NA	NA	45001.5
NA	NA	NA	NA	47501.5
NA	NA	NA	NA	50001.5
NA	NA	NA	NA	52501.5
NA	NA	NA	NA	55001.5
NA	NA	NA	NA	57501.5
NA	NA	NA	NA	60001.5
NA	NA	NA	NA	62501.5
NA	NA	NA	NA	65001.5
NA	NA	NA	NA	67501.5
NA	NA	NA	NA	70001.5
NA	NA	NA	NA	72501.5
NA	NA	NA	NA	75001.5
NA	NA	NA	NA	77501.5
NA	NA	NA	NA	80001.5
NA	NA	NA	NA	82501.5
NA	NA	NA	NA	85001.5
NA	NA	NA	NA	87501.5
NA	NA	NA	NA	90001.5
NA	NA	NA	NA	92501.5
NA	NA	NA	NA	95001.5
NA	NA	NA	NA	97501.5
NA	NA	NA	NA	100001.5
3	0.370474597241777	0.381402108712311	0.0366422983791151	102501.5
20	2.46983064827852	3.31595157771729	0.76613766367316	105001.5
27	3.334271375176	3.33541796956431	0.000811778153736631	107501.5
37	4.56918669931525	3.36137198425072	-0.653494110021089	110001.5
44	5.43362742621273	3.04668645603032	-1.10929813046483	112501.5
47	5.80410202345451	0.220626741478682	-2.4471794789319	115001.5
69	8.52091573656088	0.480010687430818	-2.48850095816953	117501.5
73	9.01488186621658	0.489715696723598	-2.50476228922802	120001.5
77	9.50884799587229	0.522143828155508	-2.51314316850487	122501.5
68	8.39742420414695	0.876187875638236	-2.35914140751815	125001.5
76	9.38535646345836	0.748428448531506	-2.44477394375845	127501.5
82	10.1263056579419	1.30519074421513	-2.32674308359112	130001.5
85	10.4967802551837	1.46227307560183	-2.30452440336083	132501.5
93	11.4847125144951	1.05815958917986	-2.44488945301012	135001.5
79	9.75583106070014	1.03116443082091	-2.38247871701672	137501.5
90	11.1142379172533	0.511246759271493	-2.56387344342291	140001.5
103	12.7196278386344	0.460629442697461	-2.61116646676812	142501.5
89	10.9907463848394	0.44502344481733	-2.57684114701493	145001.5
