"TajD.DRC"	"TajD.Gambia"	"TajD.Kenya"	"position"
-2.38431587615901	-2.20725095133213	-2.15317984622185	505000
-2.52130745454659	-2.26079411697759	-2.32865092662326	507500
-2.66475680061293	-2.48883214942569	-2.56302238742917	510000
-2.53783072852707	-2.27003457255727	-2.42728886314716	512500
-2.38565510749441	-2.11915584052395	-2.14707413346591	515000
-2.26887148883279	-2.08346292804305	-1.99653244201437	517500
-2.14721575403882	-1.96886458842772	-1.96228283331323	520000
-2.28035629820501	-2.09392960111349	-2.00614949753865	522500
-2.5059564038096	-2.26882638763596	-2.33116868318408	525000
-2.63784079122659	-2.43051507940447	-2.40102089852993	527500
-2.67838990666786	-2.45644205091394	-2.4155472198988	530000
-2.66204979354871	-2.49893574091529	-2.38410236243164	532500
-2.61439343658893	-2.52605267089708	-2.34984920524672	535000
-2.63297824042319	-2.5795274672649	-2.48118106308262	537500
-2.5585963303647	-2.5485632971802	-2.44973589564507	540000
-2.58743755015065	-2.56897362104203	-2.50101532898227	542500
-2.51991248782043	-2.45490510966166	-2.49689435843036	545000
-2.50818488939618	-2.30371625152725	-2.44081234881551	547500
-2.5829336566005	-2.31642143753843	-2.49428856078695	550000
-2.41070770532173	-2.12295043180032	-2.34385310251112	552500
-2.43022959621465	-2.20413310344147	-2.35624782802539	555000
-2.39653846557208	-2.39792581756545	-2.46600667099262	557500
-2.43715363084624	-2.39175469903092	-2.46360697482067	560000
-2.63126123934918	-2.56867149313396	-2.60095110939467	562500
-2.71430642392638	-2.63216648680715	-2.67350771520639	565000
-2.72392490371063	-2.64393814687976	-2.65905315978205	567500
-2.69479666844735	-2.62513678651683	-2.65216021888591	570000
-2.6603858325459	-2.62220704545421	-2.60805650888416	572500
-2.62555058790916	-2.60418926144728	-2.59486888456449	575000
-2.60262416027461	-2.54478056082521	-2.49222659767888	577500
-2.45664487295396	-2.40957506574749	-2.00755801960616	580000
-2.47038024737001	-2.43272188472243	-2.02219842275397	582500
-2.42067612773766	-2.45914332130431	-2.11717386794013	585000
-2.40068299315698	-2.4353057603315	-2.2103759269666	587500
-2.53842368313224	-2.60194810551306	-2.56683998322406	590000
-2.60823029906528	-2.68142200562003	-2.6168724253529	592500
-2.66709645951443	-2.68472364167141	-2.66506858292689	595000
-2.66153556782764	-2.68001546874805	-2.66923868872874	597500
-2.5652789058248	-2.53535506201582	-2.6001417726446	6e+05
-2.40046176880946	-2.38358704110955	-2.36731605502396	602500
-2.34060450710351	-2.401567317876	-2.18896252740807	605000
-2.37316733602125	-2.36054490003167	-1.98753350051092	607500
-2.32669379154502	-2.36099472194039	-1.97660021496638	610000
-2.33778682659387	-2.29726400656722	-2.14128965791996	612500
-2.22732318048431	-2.06862676354769	-2.17641437649062	615000
-2.13519765788693	-2.04778856138566	-2.29235454567055	617500
-2.28909639606155	-2.23437130872485	-2.39029859204033	620000
-2.35532253540658	-2.37006839656832	-2.42266398179827	622500
-2.30343326569648	-2.27805721805091	-2.24133987957009	625000
-2.07358188358985	-1.92717485494536	-2.04309495182724	627500
-2.0560467023572	-1.76650389293902	-1.94926988675697	630000
-2.15383148336237	-1.7444948553565	-1.97616846517864	632500
-1.94653165535011	-1.63211877191946	-1.76998488540321	635000
-2.35311552526951	-2.14988386769529	-2.08715791572679	637500
-2.37984284972405	-2.20163224062406	-2.23758883408899	640000
-2.28098138993939	-2.08572122004943	-2.08248654842426	642500
-2.48865376012985	-2.42726961163913	-2.43399557435752	645000
-2.43462449183022	-2.45656280010266	-2.42583441841499	647500
-2.39347354471401	-2.45807878222059	-2.43602534316802	650000
-2.44077576315387	-2.48369427086558	-2.50054860569449	652500
-2.52111446576772	-2.47426314435984	-2.48131324449465	655000
-2.39801428757358	-2.44943864504947	-2.40507629459254	657500
-2.51283115841456	-2.50148805315522	-2.47019392349253	660000
-2.57865149193453	-2.55474044642252	-2.58667095988415	662500
-2.58135680272382	-2.57996590072733	-2.65130367398182	665000
-2.66368837045066	-2.61406636985042	-2.67124185757814	667500
-2.68827007488934	-2.57548667243016	-2.63110332830583	670000
-2.68967367732062	-2.5637878227377	-2.64777186069174	672500
-2.63858879462568	-2.49834914614217	-2.57876463553356	675000
-2.66367795444301	-2.53652940629515	-2.61458000806446	677500
-2.66609727814194	-2.57124259493982	-2.64219415999821	680000
-2.63077128053007	-2.55553698109836	-2.58764305987195	682500
-2.70187555024966	-2.59706429793434	-2.60044088873044	685000
-2.64281949484329	-2.53473376886154	-2.55955766819214	687500
-2.22432534054289	-2.08423587785515	-2.02613365786795	690000
-2.34084249071157	-2.12353591659883	-2.13218191790641	692500
-2.397453836017	-2.14705613056004	-2.20654458609545	695000
-2.45905918120881	-2.20156971642263	-2.27802183732832	697500
-2.64045499938873	-2.35928244941186	-2.48361819994417	7e+05
-2.63153797667038	-2.38926920672745	-2.44498822221667	702500
-2.61019436307501	-2.41404559641882	-2.37959269284882	705000
-2.62801617063862	-2.4548378852338	-2.38639801635856	707500
-2.6805634152179	-2.61009229249703	-2.47031708649917	710000
-2.66051175347816	-2.60754946327993	-2.47171793601404	712500
-2.65437331486947	-2.61123756500214	-2.50013616547636	715000
-2.54864969078202	-2.53608852330896	-2.43165072358683	717500
-2.47604830820752	-2.48330160825003	-2.400649045291	720000
-2.50367199027544	-2.44210087422592	-2.43847249958405	722500
-2.51773247758314	-2.4241934962162	-2.41091669331374	725000
-2.60570489455873	-2.53046740512559	-2.50279181257815	727500
-2.69617322592795	-2.62165105384182	-2.62359125069127	730000
-2.62567493687347	-2.5175698183187	-2.53880287854502	732500
-2.62173748285692	-2.50728184515356	-2.56017150470213	735000
-2.61620172061597	-2.45757731823712	-2.50939169797638	737500
-2.66468135788423	-2.51904220137847	-2.50640880759808	740000
-2.73556999657751	-2.6422626932753	-2.5877232399969	742500
-2.4518677265342	-2.29812576010402	-2.0969321041985	745000
-2.46916346687202	-2.30777741787858	-2.07439736817416	747500
-2.32719221010648	-2.10683072502558	-1.8624392217375	750000
-2.37531651332775	-2.23531419560747	-2.01050699297854	752500
-2.69015888155949	-2.62532278081639	-2.60777959032047	755000
-2.50812345728598	-2.45994824337381	-2.46881453363316	757500
-2.54439136652882	-2.49155379114775	-2.53345286098445	760000
-2.40762371215746	-2.3793121241799	-2.42881256927147	762500
-2.42870595150651	-2.40805206954205	-2.45696593005718	765000
-2.56267032237621	-2.54771084016408	-2.51258766622139	767500
-2.51727666912087	-2.51644135756582	-2.46635287088944	770000
-2.64229483700035	-2.57932321343754	-2.56426090696513	772500
-2.62112473155652	-2.53944987112526	-2.50180985197823	775000
-2.59680107245617	-2.48766189723278	-2.5190850902548	777500
-2.50928210450374	-2.38312620805973	-2.41295905792199	780000
-2.37581266966147	-2.17480384109796	-2.20841498237508	782500
-2.3528496363307	-2.0320909402657	-2.14710773544053	785000
-2.152179093663	-1.88340817470619	-1.98811632815635	787500
-1.79031513488279	-1.43546124593135	-1.59515002268742	790000
-1.72950144396666	-1.55426441841099	-1.62970267323989	792500
-1.51679901332212	-1.6167602099891	-1.54588376616291	795000
-1.8318482067517	-1.78585594657235	-1.93355088445794	797500
-2.33156421243428	-2.13031672371116	-2.34712013581053	8e+05
-2.06772209651933	-1.84091111403407	-2.00626972990348	802500
-2.16283152987501	-1.80453467080136	-2.16990777011267	805000
-2.10815171405666	-1.67459311077	-2.04965936077028	807500
-1.1543972005673	-1.66083247374791	-1.50162471694533	810000
-1.33193192812206	-1.93005380691708	-1.87283703146159	812500
-1.23081680153637	-2.06537129702896	-1.84854785885898	815000
-1.75336713558052	-2.31997607136391	-2.11205051564428	817500
-2.56839107899063	-2.51067833024318	-2.63170818477919	820000
-2.46059617656373	-2.3547692778707	-2.62284398331488	822500
-2.29163212794752	-2.31355619187708	-2.51369435062731	825000
-2.18046039008053	-2.18839171339525	-2.46318877345569	827500
-2.19627690889028	-2.17372872221141	-2.46457636122602	830000
-2.18082170939323	-2.21161659055136	-2.3817943565359	832500
-1.76225897792748	-1.51228336153446	-1.72174482569242	835000
-0.90045591483481	-0.530089198024247	-0.672149390331325	837500
-0.602140004192251	-0.0867947074799158	-0.368180814048209	840000
0.00145763762023567	0.827554550114759	0.176851636287434	842500
0.50470144611073	1.18942278958414	0.564108078497015	845000
0.322119328162379	1.17164903266738	0.331142834012743	847500
0.279767333584493	0.945970973646743	0.393643043492193	850000
